name,rows,cols,agent_type,agent_start_position,tree_positions,tree_rewards,tree_visibility,steps,best_path,path_expected_reward,path_likelihood,path_true_reward,path_reached_reward_goal,reward_goal_probability,counterfactual_agent,counterfactual_agent_orig_path_expected_reward,counterfactual_agent_orig_path_likelihood,counterfactual_start_position,counterfactual_start_true_reward,counterfactual_start_reached_reward_goal,counterfactual_start_reward_goal_probability,counterfactual_agent_new_path,paths_identical_across_agents,counterfactual_agent_new_path_expected_reward,counterfactual_agent_new_path_likelihood,counterfactual_agent_new_path_true_reward,counterfactual_agent_new_path_reached_reward_goal,counterfactual_agent_reward_goal_probability
trial_1,10,10,optimist,"[1, 1]","[[8, 8], [8, 4], [2, 5], [8, 7], [2, 1], [5, 4], [1, 5], [9, 8], [3, 1], [5, 2]]","[5, 4, 2, 9, 5, 2, 9, 1, 7, 4]","[1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",10,"[[1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 4], [2, 3], [2, 2], [2, 1], [3, 1]]",30,0.14093671891373877,23,1,0.9948071566111064,pessimist,18,0.097411891,"[10, 10]",19,0,0,"[[1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 4], [2, 3], [2, 2], [2, 1], [3, 1]]",1,18,0.097411891,23,1,0.7664890376065718
trial_2,10,10,optimist,"[1, 1]","[[3, 10], [7, 6], [7, 7], [10, 1], [10, 3], [2, 7], [10, 6], [7, 9], [5, 10], [10, 4]]","[6, 7, 5, 7, 3, 3, 4, 3, 6, 9]","[1, 1, 0, 1, 1, 0, 0, 1, 1, 1]",10,"[[1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 8], [2, 7], [2, 8]]",8,0.072742273,3,0,0,pessimist,2,0.003180381,"[10, 10]",23,1,0.6867322655321789,"[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [10, 2]]",0,7,0.47201041983316766,7,0,0
trial_3,10,10,optimist,"[1, 1]","[[9, 8], [6, 1], [6, 5], [10, 9], [1, 7], [2, 2], [3, 2], [6, 10], [8, 7], [4, 4]]","[5, 4, 6, 1, 4, 2, 4, 8, 6, 3]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 1]",10,"[[1, 1], [1, 2], [2, 2], [3, 2], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6]]",15,0.18153656724295933,15,0,0,pessimist,15,0.19845842797674235,"[10, 10]",20,1,0.6396816354407407,"[[1, 1], [1, 2], [2, 2], [3, 2], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6]]",1,15,0.19845842797674235,15,0,0
trial_4,10,10,optimist,"[1, 1]","[[8, 6], [6, 2], [5, 7], [10, 5], [8, 9], [6, 9], [2, 7], [9, 8], [7, 6], [2, 6]]","[7, 8, 7, 6, 2, 8, 3, 1, 5, 4]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",10,"[[1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 6], [2, 7], [3, 7], [4, 7], [5, 7]]",19,0.9480763745825636,14,0,0,pessimist,7,0.018251769,"[10, 10]",20,1,0.9760590123298241,"[[1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [6, 3], [6, 2]]",0,8,0.049613453350408045,8,0,0
trial_5,10,10,optimist,"[10, 10]","[[2, 5], [4, 4], [7, 7], [1, 6], [1, 8], [2, 2], [1, 5], [1, 10], [4, 2], [10, 3]]","[8, 9, 5, 6, 6, 4, 9, 1, 4, 6]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",10,"[[10, 10], [10, 9], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [10, 4], [10, 3], [10, 4]]",8,0.082262733,6,0,0,pessimist,2,0.002094533,"[1, 1]",34,1,0.999996736,"[[10, 10], [10, 9], [10, 10], [10, 9], [10, 10], [10, 9], [10, 8], [10, 7], [9, 7], [8, 7], [7, 7]]",0,5,0.042069818,5,0,0
trial_6,10,10,pessimist,"[1, 1]","[[4, 1], [2, 5], [6, 2], [3, 5], [10, 1], [7, 1], [6, 10], [8, 6], [3, 4], [3, 3]]","[6, 8, 1, 9, 8, 1, 3, 7, 6, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,"[[1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [4, 3], [3, 3], [3, 4], [3, 5], [2, 5], [2, 6]]",33,0.24275081529545992,33,1,0.9999932820977863,optimist,33,0.24275081529545992,"[10, 10]",10,0,0,"[[1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [4, 3], [3, 3], [3, 4], [3, 5], [2, 5], [2, 6]]",1,33,0.24275081529545992,33,1,0.9999932820977863
trial_7,10,10,pessimist,"[1, 1]","[[9, 8], [9, 4], [3, 9], [5, 4], [8, 3], [4, 5], [10, 4], [5, 7], [2, 8], [2, 3]]","[6, 4, 9, 3, 7, 7, 2, 1, 5, 8]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]",10,"[[1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [3, 9]]",22,0.932297432,22,1,0.932297432,optimist,22,0.036375729,"[10, 10]",17,0,0,"[[1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]]",0,24,0.2687823018562593,12,0,0.036375729
trial_8,10,10,pessimist,"[10, 10]","[[10, 5], [6, 8], [4, 9], [7, 8], [2, 7], [2, 2], [3, 6], [9, 5], [8, 4], [1, 9]]","[6, 8, 8, 8, 3, 5, 5, 2, 2, 9]","[0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",10,"[[10, 10], [10, 9], [10, 8], [9, 8], [8, 8], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10]]",24,0.2492945281979896,24,1,0.9971781127919584,optimist,24,0.24928964825874475,"[1, 1]",17,0,0,"[[10, 10], [10, 9], [10, 8], [9, 8], [8, 8], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [4, 10]]",1,24,0.24928964825874475,24,1,0.997158593
trial_9,10,10,optimist,"[10, 10]","[[8, 7], [9, 8], [4, 10], [2, 10], [5, 7], [4, 1], [4, 6], [1, 9], [9, 9], [6, 8]]","[2, 5, 9, 6, 5, 5, 7, 5, 7, 6]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",10,"[[10, 10], [10, 9], [9, 9], [9, 8], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 6], [4, 6]]",33,0.6947517703416944,26,1,0.9974150068243238,pessimist,21,0.001557135,"[1, 1]",17,0,0,"[[10, 10], [10, 9], [9, 9], [9, 8], [8, 8], [7, 8], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10]]",0,27,0.6281931654661321,27,1,0.9958032678913067
trial_10,10,10,optimist,"[10, 10]","[[3, 4], [2, 8], [7, 3], [1, 4], [2, 4], [4, 1], [5, 1], [1, 6], [8, 10], [8, 7]]","[4, 1, 6, 3, 5, 6, 1, 6, 6, 7]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",10,"[[10, 10], [9, 10], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [7, 3]]",20,0.9368184770911426,19,0,0,pessimist,14,0.8241176406749606,"[1, 1]",19,0,0,"[[10, 10], [9, 10], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [7, 3]]",1,14,0.8241176406749606,19,0,0
trial_11,10,10,optimist,"[10, 10]","[[8, 10], [6, 2], [10, 1], [7, 4], [8, 9], [10, 2], [5, 3], [6, 3], [8, 6], [6, 8]]","[1, 5, 6, 3, 9, 5, 6, 5, 7, 6]","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1]",10,"[[10, 10], [9, 10], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [8, 7], [8, 8], [7, 8], [6, 8]]",24,0.323796463,23,1,0.9503125574563411,pessimist,18,0.14354229119798712,"[1, 1]",16,0,0,"[[10, 10], [9, 10], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [8, 7], [8, 8], [7, 8], [6, 8]]",1,18,0.14354229119798712,23,1,0.42128329759895816
trial_12,10,10,pessimist,"[10, 10]","[[7, 3], [1, 9], [8, 8], [4, 6], [10, 1], [3, 4], [9, 8], [5, 6], [5, 5], [2, 3]]","[2, 5, 8, 5, 8, 5, 1, 7, 6, 9]","[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",10,"[[10, 10], [10, 9], [10, 8], [9, 8], [8, 8], [8, 7], [8, 6], [7, 6], [6, 6], [5, 6], [5, 5]]",16,0.4684393521921371,22,1,0.8764941388145471,optimist,22,0.5318240769658232,"[1, 1]",32,1,0.9842528380177807,"[[10, 10], [10, 9], [10, 8], [9, 8], [8, 8], [8, 7], [8, 6], [7, 6], [6, 6], [5, 6], [5, 5]]",1,22,0.5318240769658232,22,1,0.9950929275254534
trial_13,10,10,optimist,"[10, 10]","[[7, 5], [5, 3], [4, 3], [9, 10], [1, 9], [1, 10], [6, 4], [1, 6], [1, 3], [5, 9]]","[4, 1, 1, 7, 7, 9, 3, 8, 9, 2]","[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",10,"[[10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 9]]",23,0.9957658166529199,23,1,0.9957658166529199,pessimist,11,0.3980757315170406,"[1, 1]",33,1,0.9992433426551801,"[[10, 10], [9, 10], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9]]",0,11,0.3980757315170406,16,0,0.3980757315170406
trial_14,10,10,pessimist,"[1, 1]","[[2, 3], [10, 2], [1, 9], [10, 7], [6, 8], [7, 3], [4, 2], [6, 7], [3, 6], [7, 10]]","[1, 7, 8, 9, 6, 7, 5, 3, 7, 1]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]",10,"[[1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [1, 9]]",9,0.3206008258256177,9,0,0,optimist,9,5.435135765966073e-05,"[10, 10]",18,0,0,"[[1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [4, 2], [4, 3], [5, 3], [6, 3], [7, 3]]",0,17,0.16201911372212727,13,0,0
trial_15,10,10,pessimist,"[1, 1]","[[8, 3], [2, 3], [10, 9], [5, 8], [8, 8], [3, 2], [8, 5], [10, 2], [10, 5], [9, 3]]","[3, 5, 7, 8, 3, 2, 1, 9, 4, 4]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",10,"[[1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3]]",11,0.36233187927502736,12,0,0,optimist,17,0.8939297348302248,"[10, 10]",24,1,0.9724416840752763,"[[1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3]]",1,17,0.8939297348302248,12,0,0
trial_16,10,10,optimist,"[1, 1]","[[2, 8], [4, 3], [2, 3], [8, 4], [1, 4], [4, 7], [10, 9], [4, 5], [5, 9], [1, 2]]","[5, 1, 8, 1, 9, 9, 5, 2, 2, 3]","[1, 0, 1, 0, 1, 1, 1, 1, 1, 1]",10,"[[1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 3], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]",30,0.096611673,23,1,0.9897059541102741,pessimist,24,0.060918727,"[10, 10]",16,0,0,"[[1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]",0,25,0.16559426921173342,25,1,0.991496042
trial_17,10,10,pessimist,"[10, 10]","[[5, 4], [3, 7], [4, 5], [5, 7], [2, 6], [4, 2], [6, 5], [1, 2], [1, 8], [9, 3]]","[9, 9, 6, 2, 5, 2, 6, 5, 4, 1]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",10,"[[10, 10], [10, 9], [10, 8], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7]]",11,0.8585316811614288,11,0,0,optimist,11,0.6401685336020819,"[1, 1]",22,1,0.904982116,"[[10, 10], [10, 9], [10, 8], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7]]",1,11,0.6401685336020819,11,0,0
