sequence_id,game_id,trial_num,trial_name,condition,agent_type,agent_start_position,tree_positions,tree_rewards,tree_visibility,rows,cols,total_steps,berries_needed,agent_path_num_trees,agent_path_tree_positions,agent_path_tree_rewards,agent_path_tree_visibility,agent_path_reward,agent_path_succeeded,trait_counterfactual_slider,environment_counterfactual_slider,trait_causal_slider,environment_causal_slider,causal_selection_slider,observe_time_spent,evaluate_time_spent,judgment_sequence_time_spent
0425-2f5288c0-52e9-4378-afe5-66041c107ea6,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,0,trial_556,environment_counterfactual,pessimist,"[1, 1]","[[5, 9], [8, 6], [4, 8], [9, 8], [10, 2], [7, 8], [3, 5], [4, 1], [2, 8], [7, 1]]","[6, 3, 3, 5, 5, 2, 4, 2, 6, 2]","[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",10,10,10,20,2,"[[3, 5], [2, 8]]","[4, 6]","[1, 1]",10,False,,43.0,,,,8347.0,15990.0,24340.0
5831-a92af6a0-d115-4302-a322-a5dc372150c4,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,1,trial_920,environment_counterfactual,optimist,"[1, 1]","[[1, 5], [2, 3], [9, 9], [3, 7], [5, 6], [9, 3], [9, 10], [2, 10], [10, 9], [1, 9]]","[5, 7, 4, 6, 3, 2, 9, 8, 2, 7]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",10,10,10,20,3,"[[1, 5], [1, 9], [2, 10]]","[5, 7, 8]","[1, 1, 0]",20,True,,30.0,,,,8738.0,8605.0,17346.0
9868-a2a0bcb9-ec10-4bf2-9cf4-0703cedb1161,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,2,trial_13_v2,environment_counterfactual,optimist,"[10, 10]","[[7, 5], [5, 3], [4, 3], [9, 10], [1, 9], [1, 10], [6, 4], [1, 6], [1, 3], [5, 9]]","[4, 1, 1, 7, 7, 9, 3, 8, 9, 5]","[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",10,10,10,20,3,"[[9, 10], [1, 10], [1, 9]]","[7, 9, 7]","[0, 0, 1]",23,True,,6.0,,,,8747.0,9996.0,18744.0
2894-8fc363c3-7824-4653-beec-9ddb9401cae5,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,3,trial_453,environment_counterfactual,optimist,"[1, 1]","[[3, 6], [1, 7], [1, 2], [9, 4], [6, 5], [6, 6], [2, 3], [10, 1], [5, 7], [10, 6]]","[8, 6, 3, 7, 9, 3, 4, 7, 8, 8]","[1, 0, 1, 1, 1, 0, 0, 0, 1, 1]",10,10,10,20,4,"[[1, 2], [2, 3], [6, 5], [6, 6]]","[3, 4, 9, 3]","[1, 0, 1, 0]",19,False,,2.0,,,,9140.0,9172.0,18313.0
1069-8ca849c5-bb3c-4961-bf27-93df02d24a38,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,4,trial_553,environment_counterfactual,optimist,"[10, 10]","[[3, 8], [4, 10], [3, 1], [9, 3], [6, 4], [5, 7], [8, 8], [10, 9], [6, 9], [4, 4]]","[7, 4, 6, 6, 1, 6, 8, 8, 5, 9]","[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",10,10,10,20,4,"[[10, 9], [8, 8], [6, 9], [4, 10]]","[8, 8, 5, 4]","[1, 1, 0, 0]",25,True,,20.0,,,,9161.0,17518.0,26680.0
0005-af0ce163-3700-4a33-a5e6-d2b7badf36b6,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,5,trial_374,environment_counterfactual,optimist,"[1, 1]","[[8, 2], [3, 5], [1, 5], [9, 9], [5, 6], [5, 3], [10, 8], [6, 4], [8, 3], [4, 10]]","[3, 8, 4, 4, 2, 3, 3, 4, 6, 3]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",10,10,10,20,3,"[[5, 3], [8, 3], [8, 2]]","[3, 6, 3]","[0, 0, 0]",12,False,,18.0,,,,8752.0,6190.0,14946.0
6578-a6faac4a-d543-4395-9a21-ae8c9f8ac8b4,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,6,trial_955,environment_counterfactual,pessimist,"[10, 10]","[[2, 2], [4, 8], [10, 5], [2, 8], [7, 9], [1, 5], [4, 10], [2, 6], [7, 2], [3, 8]]","[1, 1, 7, 8, 1, 4, 5, 4, 5, 6]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",10,10,10,20,4,"[[4, 10], [4, 8], [3, 8], [2, 8]]","[5, 1, 6, 8]","[1, 1, 1, 1]",20,True,,15.0,,,,9154.0,13622.0,22778.0
4719-fb8c54e7-f2f8-4543-8a73-56454c6eeb97,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,7,trial_629,environment_counterfactual,optimist,"[1, 1]","[[6, 9], [3, 8], [2, 4], [1, 6], [10, 3], [9, 1], [4, 8], [5, 2], [7, 2], [6, 1]]","[7, 9, 3, 5, 5, 7, 6, 9, 4, 7]","[1, 0, 1, 1, 1, 1, 0, 0, 1, 0]",10,10,10,20,3,"[[5, 2], [6, 1], [9, 1]]","[9, 7, 7]","[0, 0, 1]",23,True,,65.0,,,,8757.0,6705.0,15463.0
6244-61ebe3ab-0a1a-4b90-bef2-7d4d60b88ec4,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,8,trial_528,environment_counterfactual,pessimist,"[1, 1]","[[5, 4], [6, 3], [8, 2], [10, 6], [8, 1], [7, 10], [7, 3], [10, 4], [6, 10], [4, 7]]","[7, 5, 4, 6, 8, 7, 9, 4, 6, 4]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",10,10,10,20,3,"[[5, 4], [6, 3], [7, 3]]","[7, 5, 9]","[1, 1, 1]",21,True,,71.0,,,,8747.0,10020.0,18771.0
1779-d2d90c76-48ce-4ea5-ad3a-e78b82cea2af,0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,9,trial_894,environment_counterfactual,optimist,"[10, 10]","[[5, 8], [7, 8], [7, 2], [9, 8], [10, 6], [5, 10], [5, 6], [9, 9], [6, 10], [8, 8]]","[2, 8, 4, 4, 6, 7, 6, 1, 2, 1]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",10,10,10,20,7,"[[9, 9], [9, 8], [8, 8], [7, 8], [5, 8], [5, 10], [6, 10]]","[1, 4, 1, 8, 2, 7, 2]","[1, 1, 1, 1, 1, 0, 0]",25,True,,100.0,,,,10358.0,6094.0,16455.0
